,NG sim,subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
0,0,2,163,279,418,514,588,604,731
1,0,0,161,274,479,585,639,681,786
2,0,7,463,772,831,961,1015,1019,1054
3,0,6,158,468,827,923,1024,1030,1143
4,0,5,244,341,647,797,1224,1232,1296
5,0,4,109,174,708,930,1168,1271,1376
6,0,11,215,699,793,847,1052,1053,1317
7,0,1,271,715,806,923,1119,1170,1351
8,0,3,182,576,963,1212,1400,1623,1627
9,0,8,198,538,932,1165,1327,1359,1554
10,0,10,416,1129,1500,1627,1718,1731,1764
11,0,15,270,377,474,563,742,774,956
12,0,9,158,736,1843,1890,2107,2130,2210
13,0,12,901,1195,1416,1462,1733,1735,1831
14,0,18,116,283,850,1005,1020,1080,1148
15,0,22,154,213,477,542,747,859,918
16,0,20,156,223,787,868,1011,1084,1202
17,0,19,139,271,842,936,1096,1149,1159
18,0,17,231,687,832,1143,1340,1502,1506
19,0,21,189,938,1038,1321,1417,1488,1655
20,0,14,883,1119,1391,1797,1946,1982,2259
21,0,28,89,150,341,415,443,449,821
22,0,25,119,166,639,822,886,1006,1112
23,0,16,238,1500,1782,1920,2039,2098,2260
24,0,23,226,346,593,606,1295,1301,1474
25,0,13,386,1722,1822,2066,2702,2721,2756
26,0,27,295,633,750,826,945,1019,1116
27,0,29,122,414,667,919,944,1147,1249
28,0,26,162,738,900,1060,1200,1270,1548
29,0,24,459,1218,1454,1628,1714,1737,1857
30,0,30,354,1097,1315,1386,1457,1462,1493
31,0,38,103,130,224,285,313,645,667
32,0,34,178,274,563,799,945,953,1073
33,0,31,547,712,962,1139,1318,1321,1347
34,0,35,491,553,819,882,944,1036,1145
35,0,37,228,627,738,817,983,995,997
36,0,33,341,719,1011,1115,1300,1459,1517
37,0,40,295,503,629,702,796,846,930
38,0,42,160,256,631,825,875,894,968
39,0,39,159,414,536,718,787,792,1305
40,0,41,214,504,643,937,1077,1120,1233
41,0,36,778,909,1415,1479,1714,1715,1768
42,0,44,190,292,694,939,1028,1047,1203
