subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
100206,161,274,479,585,639,681,786
100610,271,715,806,923,1119,1170,1351
101006,163,279,418,514,588,604,731
101107,182,576,963,1212,1400,1623,1627
101309,109,174,708,930,1168,1271,1376
101915,244,341,647,797,1224,1232,1296
102008,158,468,827,923,1024,1030,1143
102109,463,772,831,961,1015,1019,1054
102311,198,538,932,1165,1327,1359,1554
102513,158,736,1843,1890,2107,2130,2210
102614,416,1129,1500,1627,1718,1731,1764
102715,215,699,793,847,1052,1053,1317
103010,901,1195,1416,1462,1733,1735,1831
103111,386,1722,1822,2066,2702,2721,2756
103212,883,1119,1391,1797,1946,1982,2259
104012,270,377,474,563,742,774,956
104416,238,1500,1782,1920,2039,2098,2260
104820,231,687,832,1143,1340,1502,1506
105014,116,283,850,1005,1020,1080,1148
105620,139,271,842,936,1096,1149,1159
105923,156,223,787,868,1011,1084,1202
106016,189,938,1038,1321,1417,1488,1655
106521,154,213,477,542,747,859,918
106824,226,346,593,606,1295,1301,1474
107018,459,1218,1454,1628,1714,1737,1857
107321,119,166,639,822,886,1006,1112
107422,162,738,900,1060,1200,1270,1548
107725,295,633,750,826,945,1019,1116
108020,89,150,341,415,443,449,821
108121,122,414,667,919,944,1147,1249
108222,354,1097,1315,1386,1457,1462,1493
108323,547,712,962,1139,1318,1321,1347
108525,941,2048,2317,2417,2562,2571,2590
108828,341,719,1011,1115,1300,1459,1517
109123,178,274,563,799,945,953,1073
109325,491,553,819,882,944,1036,1145
109830,778,909,1415,1479,1714,1715,1768
110007,228,627,738,817,983,995,997
110613,103,130,224,285,313,645,667
111211,159,414,536,718,787,792,1305
111413,295,503,629,702,796,846,930
111716,214,504,643,937,1077,1120,1233
112112,160,256,631,825,875,894,968
112314,221,429,1032,1264,1317,1366,1450
112516,190,292,694,939,1028,1047,1203
112920,176,421,661,786,1066,1132,1150
113316,687,1955,2242,2331,2580,2701,3411
113922,123,183,927,1124,1196,1249,1518
114217,467,721,833,1037,1121,1163,1369
114318,149,1101,1488,2450,2549,2563,2608
114419,212,611,912,974,1050,1078,1099
114621,198,1815,1949,2025,2155,2210,2412
114823,173,267,534,651,734,800,1021
115017,176,788,1182,1279,1307,1513,1727
115219,205,393,735,897,975,989,1127
115724,474,728,867,1168,1417,1593,1645
115825,278,779,921,1009,1273,1288,1403
116524,125,183,436,518,685,694,801
116726,283,483,698,960,1347,1506,1659
117021,300,536,723,895,1004,1020,1024
117930,300,533,880,912,1004,1043,1616
118023,95,142,642,834,961,999,1003
118124,332,557,856,1233,1361,1601,1874
118225,179,514,800,920,1266,1287,1371
118528,302,1158,1378,1441,1591,1603,1685
118831,278,318,485,569,629,691,871
119025,132,213,595,648,755,814,900
119126,167,320,403,499,546,1140,1241
120414,149,334,505,689,938,941,1317
120515,364,1124,1257,1521,1661,1676,1734
120717,244,358,542,718,787,887,953
121416,264,679,773,832,937,1129,1302
121618,232,401,750,904,1023,1082,1355
121921,271,505,856,1055,1082,1178,1201
122317,248,850,961,1213,1483,1512,1565
122620,185,253,312,383,488,715,756
122822,161,230,603,678,884,933,979
123420,212,283,626,819,1104,1111,1393
123521,201,312,502,908,1039,1129,1253
123723,210,427,662,778,931,1065,1177
123824,218,359,644,664,744,879,1016
123925,256,1285,1620,1690,1767,1801,2213
124220,568,650,1256,1331,1430,1738,1888
124624,199,310,525,743,989,1113,1197
124826,538,1328,1518,1803,1899,1933,1947
125222,339,419,1782,1877,1934,1955,2269
125424,509,1036,1342,1484,1529,1561,1663
126426,184,595,1274,1452,1625,1723,1744
126628,180,447,1215,1279,1329,1372,1480
127226,348,871,1185,1379,1589,1800,1881
127327,135,401,604,770,1069,1109,1167
127630,233,1287,1655,1849,1886,2035,2214
127731,184,523,777,920,1347,1486,1520
127832,97,233,454,950,1091,1157,1272
128026,172,292,460,537,677,752,870
128127,162,262,424,628,702,729,744
128935,330,575,1081,1283,1522,1545,2066
129129,234,894,1144,1390,1447,1610,1664
