,NG sim,subject,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
0,0,2096,99,210,310,379,379,379
1,1,2096,76,119,138,596,596,596
2,2,2096,183,225,237,293,293,293
3,3,2096,285,3554,3685,3792,3792,3792
4,4,2096,145,256,303,339,339,339
5,5,2096,163,264,280,379,379,379
6,6,2096,763,806,1125,1509,1509,1509
7,7,2096,158,272,421,498,498,498
8,8,2096,765,1033,1210,1456,1456,1456
9,9,2096,143,1005,1446,1621,1621,1621
10,10,2096,1630,1689,1705,1761,1761,1761
11,11,2096,4636,4750,5084,5162,5162,5162
12,12,2096,165,499,514,736,736,736
13,13,2096,168,302,405,686,686,686
14,14,2096,93,268,311,667,667,667
15,15,2096,223,1718,1733,1805,1805,1805
16,16,2096,217,2367,2426,2465,2465,2465
17,17,2096,65,526,624,714,714,714
18,18,2096,100,187,283,527,527,527
19,19,2096,942,1456,1519,1612,1612,1612
20,20,2096,149,206,219,466,466,466
21,21,2096,847,1270,1605,1661,1661,1661
22,22,2096,63,71,90,216,216,216
23,23,2096,96,130,145,359,359,359
24,24,2096,387,1097,1130,1463,1463,1463
25,25,2096,579,895,907,942,942,942
26,26,2096,135,183,216,1098,1098,1098
27,27,2096,224,388,547,695,695,695
28,28,2096,319,439,494,718,718,718
29,29,2096,83,126,443,600,600,600
30,30,2096,198,247,794,1086,1086,1086
31,31,2096,132,288,346,589,589,589
32,32,2096,302,419,427,720,720,720
33,33,2096,184,1668,1752,1909,1909,1909
34,34,2096,1775,1900,1912,1983,1983,1983
35,35,2096,59,125,149,310,310,310
36,36,2096,239,1646,1933,2072,2072,2072
37,37,2096,442,801,804,1289,1289,1289
38,38,2096,86,3552,3909,6239,6239,6239
39,39,2096,112,266,488,561,561,561
40,40,2096,183,319,337,591,591,591
41,41,2096,51,93,127,288,288,288
42,42,2096,117,132,396,584,584,584
43,43,2096,116,326,338,547,547,547
44,44,2096,101,186,791,920,920,920
45,45,2096,426,492,533,625,625,625
46,46,2096,357,2712,3034,3268,3268,3268
47,47,2096,144,158,175,262,262,262
48,48,2096,84,202,348,371,371,371
49,49,2096,196,652,798,845,845,845
50,50,2096,332,363,473,748,748,748
51,51,2096,789,895,1006,1559,1559,1559
52,52,2096,175,256,509,551,551,551
53,53,2096,88,191,322,438,438,438
54,54,2096,76,2963,3278,3389,3389,3389
55,55,2096,77,143,243,267,267,267
56,56,2096,115,217,414,456,456,456
57,57,2096,118,601,640,763,763,763
58,58,2096,127,192,341,518,518,518
59,59,2096,61,142,150,206,206,206
60,60,2096,116,1062,1147,1450,1450,1450
61,61,2096,3167,3295,3912,4014,4014,4014
62,62,2096,44,354,593,667,667,667
63,63,2096,398,425,484,607,607,607
64,64,2096,119,160,175,498,498,498
65,65,2096,693,1689,2646,3035,3035,3035
66,66,2096,438,555,606,654,654,654
67,67,2096,56,99,141,156,156,156
68,68,2096,147,230,264,847,847,847
69,69,2096,228,299,341,598,598,598
70,70,2096,216,1667,1758,2151,2151,2151
71,71,2096,94,110,153,215,215,215
72,72,2096,1475,1832,3808,4010,4010,4010
73,73,2096,107,1093,1190,1321,1321,1321
74,74,2096,581,602,604,665,665,665
75,75,2096,362,380,433,583,583,583
76,76,2096,676,774,927,1081,1081,1081
77,77,2096,74,139,186,269,269,269
78,78,2096,384,551,651,720,720,720
79,79,2096,102,277,303,345,345,345
80,80,2096,101,258,310,711,711,711
81,81,2096,1547,1626,1678,1766,1766,1766
82,82,2096,256,277,299,405,405,405
83,83,2096,63,170,347,384,384,384
84,84,2096,103,230,492,567,567,567
85,85,2096,374,665,824,896,896,896
86,86,2096,149,213,258,325,325,325
87,87,2096,160,468,633,1130,1130,1130
88,88,2096,88,243,290,310,310,310
89,89,2096,65,2630,2717,2771,2771,2771
90,90,2096,56,96,106,268,268,268
91,91,2096,126,169,182,334,334,334
92,92,2096,57,115,160,339,339,339
93,93,2096,140,362,471,585,585,585
94,94,2096,172,314,332,572,572,572
95,95,2096,57,133,250,384,384,384
96,96,2096,105,155,295,422,422,422
97,97,2096,425,729,900,1134,1134,1134
98,98,2096,514,3550,3581,3658,3658,3658
99,99,2096,144,360,505,618,618,618
100,0,2102,105,375,414,757,757,757
101,1,2102,182,342,418,509,509,509
102,2,2102,431,932,962,1168,1168,1168
103,3,2102,47,60,165,319,319,319
104,4,2102,67,84,170,213,213,213
105,5,2102,3285,4089,4170,4236,4236,4236
106,6,2102,1503,1549,1565,1667,1667,1667
107,7,2102,214,263,292,508,508,508
108,8,2102,4561,4725,4775,5202,5202,5202
109,9,2102,82,200,436,537,537,537
110,10,2102,371,5310,5345,5515,5515,5515
111,11,2102,2939,3025,3149,3253,3253,3253
112,12,2102,106,155,170,421,421,421
113,13,2102,202,311,447,790,790,790
114,14,2102,324,435,9001,9065,9065,9065
115,15,2102,108,392,5763,10898,10898,10898
116,16,2102,68,76,205,708,708,708
117,17,2102,247,312,402,862,862,862
118,18,2102,5386,5543,5583,5764,5764,5764
119,19,2102,95,157,241,509,509,509
120,20,2102,117,235,247,281,281,281
121,21,2102,355,2452,2474,2780,2780,2780
122,22,2102,46,91,131,265,265,265
123,23,2102,216,363,689,698,698,698
124,24,2102,4012,4153,4235,4718,4718,4718
125,25,2102,100,3916,4145,4424,4424,4424
126,26,2102,50,173,244,434,434,434
127,27,2102,81,752,781,867,867,867
128,28,2102,723,5677,26104,26561,26561,26561
129,29,2102,106,716,773,823,823,823
130,30,2102,403,653,675,756,756,756
131,31,2102,48,73,121,367,367,367
132,32,2102,110,280,345,877,877,877
133,33,2102,149,208,231,277,277,277
134,34,2102,115,150,202,251,251,251
135,35,2102,56,209,232,235,235,235
136,36,2102,111,743,1158,1599,1599,1599
137,37,2102,63,104,16455,16470,16470,16470
138,38,2102,100,231,656,948,948,948
139,39,2102,73,123,156,395,395,395
140,40,2102,92,224,285,291,291,291
141,41,2102,100,166,263,695,695,695
142,42,2102,5894,7693,7832,7869,7869,7869
143,43,2102,144,213,234,248,248,248
144,44,2102,56,77,96,187,187,187
145,45,2102,7280,7737,7958,8074,8074,8074
146,46,2102,205,246,261,542,542,542
147,47,2102,351,579,607,860,860,860
148,48,2102,117,683,718,792,792,792
149,49,2102,151,211,405,434,434,434
150,50,2102,4027,4159,4197,4489,4489,4489
151,51,2102,55,95,146,211,211,211
152,52,2102,3678,3959,4453,4886,4886,4886
153,53,2102,273,338,452,905,905,905
154,54,2102,255,278,334,595,595,595
155,55,2102,350,560,713,880,880,880
156,56,2102,906,1022,1370,1839,1839,1839
157,57,2102,117,4994,5021,5083,5083,5083
158,58,2102,143,157,244,409,409,409
159,59,2102,173,269,354,432,432,432
160,60,2102,142,333,343,503,503,503
161,61,2102,144,181,12190,12351,12351,12351
162,62,2102,347,6562,6579,6629,6629,6629
163,63,2102,182,231,255,296,296,296
164,64,2102,243,284,442,574,574,574
165,65,2102,78,142,13180,13269,13269,13269
166,66,2102,89,122,149,410,410,410
167,67,2102,152,193,237,421,421,421
168,68,2102,63,114,137,707,707,707
169,69,2102,92,8233,10972,11185,11185,11185
170,70,2102,56,91,132,396,396,396
171,71,2102,2157,4470,4797,4999,4999,4999
172,72,2102,47,79,128,212,212,212
173,73,2102,190,210,347,666,666,666
174,74,2102,640,1096,1120,1216,1216,1216
175,75,2102,55,10783,10836,10971,10971,10971
176,76,2102,52,102,114,252,252,252
177,77,2102,198,438,899,948,948,948
178,78,2102,379,468,836,1284,1284,1284
179,79,2102,188,235,279,351,351,351
180,80,2102,224,331,368,604,604,604
181,81,2102,160,224,635,921,921,921
182,82,2102,4217,4296,4352,4385,4385,4385
183,83,2102,3904,5181,5190,6321,6321,6321
184,84,2102,1052,6704,6716,6823,6823,6823
185,85,2102,101,143,162,721,721,721
186,86,2102,197,1188,6740,7134,7134,7134
187,87,2102,94,212,221,502,502,502
188,88,2102,168,343,480,513,513,513
189,89,2102,639,710,882,954,954,954
190,90,2102,82,105,179,201,201,201
191,91,2102,131,11026,11044,11440,11440,11440
192,92,2102,78,150,172,285,285,285
193,93,2102,365,691,762,876,876,876
194,94,2102,1427,13794,13805,14300,14300,14300
195,95,2102,5347,5462,5532,5719,5719,5719
196,96,2102,44,190,250,289,289,289
197,97,2102,123,912,935,1321,1321,1321
198,98,2102,100,1063,1211,1486,1486,1486
199,99,2102,125,138,200,293,293,293
200,0,2103,137,174,179,357,357,357
201,1,2103,754,951,2746,2775,2775,2775
202,2,2103,60,138,152,211,211,211
203,3,2103,214,1045,1155,1251,1251,1251
204,4,2103,381,517,750,866,866,866
205,5,2103,341,401,841,897,897,897
206,6,2103,178,1541,1735,1764,1764,1764
207,7,2103,76,192,248,310,310,310
208,8,2103,1937,1985,1989,2028,2028,2028
209,9,2103,169,470,580,863,863,863
210,10,2103,151,197,227,250,250,250
211,11,2103,108,126,142,251,251,251
212,12,2103,116,243,257,313,313,313
213,13,2103,94,136,163,269,269,269
214,14,2103,758,3600,3648,4018,4018,4018
215,15,2103,73,275,562,631,631,631
216,16,2103,46,72,151,215,215,215
217,17,2103,441,1322,1487,1600,1600,1600
218,18,2103,121,148,773,874,874,874
219,19,2103,155,662,719,813,813,813
220,20,2103,481,585,894,927,927,927
221,21,2103,2323,2432,2456,2628,2628,2628
222,22,2103,54,117,240,376,376,376
223,23,2103,627,679,783,925,925,925
224,24,2103,341,643,884,1226,1226,1226
225,25,2103,84,142,165,253,253,253
226,26,2103,84,2351,2375,2623,2623,2623
227,27,2103,119,140,267,356,356,356
