Source,Target,Type,Weight
1,0,Undirected,1.2624
2,1,Undirected,4.3158
3,1,Undirected,3.1643
4,0,Undirected,0.61101
4,1,Undirected,11.505
4,2,Undirected,0.83825
4,3,Undirected,8.2209
5,0,Undirected,1.6134
6,0,Undirected,1.4519
6,2,Undirected,9.8529
6,3,Undirected,1.3796
6,5,Undirected,1.6134
7,0,Undirected,3.5659
7,4,Undirected,6.5214
8,1,Undirected,2.6905
8,2,Undirected,5.9682
8,3,Undirected,0.86403
8,4,Undirected,1.6873
8,6,Undirected,2.4923
9,1,Undirected,3.7538
9,3,Undirected,5.4537
9,4,Undirected,4.4121
10,0,Undirected,2.2742
10,6,Undirected,0.38972
10,8,Undirected,1.713
11,0,Undirected,7.6637
11,2,Undirected,1.9343
11,3,Undirected,25.939
11,4,Undirected,0.61134
11,5,Undirected,5.1532
11,6,Undirected,2.9451
11,8,Undirected,0.9054
11,9,Undirected,10.057
11,10,Undirected,0.31214
12,0,Undirected,1.4777
12,2,Undirected,4.6617
12,3,Undirected,0.9493
12,4,Undirected,1.5303
12,5,Undirected,6.2574
12,6,Undirected,4.3306
12,7,Undirected,5.5419
12,8,Undirected,4.3205
13,4,Undirected,2.7483
13,6,Undirected,9.4504
13,10,Undirected,0.95876
13,12,Undirected,0.72792
14,0,Undirected,3.5573
14,1,Undirected,8.5256
14,3,Undirected,0.75356
14,4,Undirected,8.8467
14,5,Undirected,3.7194
14,8,Undirected,0.88337
14,9,Undirected,10.736
14,10,Undirected,2.6809
14,11,Undirected,2.9562
14,13,Undirected,3.8259
15,1,Undirected,4.1267
15,2,Undirected,0.77125
15,3,Undirected,3.4771
15,5,Undirected,3.1514
15,6,Undirected,4.5667
15,7,Undirected,3.5221
15,10,Undirected,4.8602
15,12,Undirected,6.2557
15,13,Undirected,1.9457
15,14,Undirected,4.3894
16,5,Undirected,4.4323
16,6,Undirected,6.0659
16,7,Undirected,6.9757
16,9,Undirected,3.8414
16,10,Undirected,5.1362
16,11,Undirected,2.5162
16,13,Undirected,3.6638
16,15,Undirected,11.556
17,1,Undirected,1.7799
17,3,Undirected,6.5203
17,4,Undirected,5.8558
17,6,Undirected,1.8974
17,8,Undirected,2.0061
17,9,Undirected,3.1905
17,10,Undirected,0.35334
17,11,Undirected,2.7229
17,12,Undirected,3.2479
17,13,Undirected,0.076428
17,15,Undirected,1.0884
18,1,Undirected,7.3549
18,4,Undirected,8.1694
18,5,Undirected,4.0707
18,6,Undirected,3.2208
18,7,Undirected,1.7615
18,9,Undirected,8.1027
18,10,Undirected,1.4736
18,16,Undirected,4.1367
18,17,Undirected,6.1154
19,0,Undirected,1.9385
19,1,Undirected,1.3226
19,2,Undirected,1.0053
19,3,Undirected,1.0151
19,7,Undirected,3.1703
19,8,Undirected,0.11841
19,9,Undirected,1.2725
19,11,Undirected,0.043296
19,12,Undirected,1.405
19,13,Undirected,1.5564
19,15,Undirected,0.99524
19,18,Undirected,0.18588
20,2,Undirected,8.2018
20,7,Undirected,6.3015
20,8,Undirected,9.4395
20,9,Undirected,3.5272
20,10,Undirected,3.3256
20,13,Undirected,1.7459
20,14,Undirected,5.4555
20,17,Undirected,4.3936
